Palmetto General Hospital,West 68th Street,Hialeah,Dade,305-823-5000,2001,Florida,33016,Medical Staff Office,(305) 364-2198,
Palms of Pasadena Hospital, Pasadena Avenue South,St. Petersburg,Pinellas,727-381-1000,1501,Florida,33707,Medical Staff Office,(727) 341-7774,
Pan American Hospital,NW 57 Street,Miami,Dade,(305) 477-4475,800,Florida,33178,Medical Staff Office,(305) 477-4475,
Parkway Regional Medical Center, NW 170th St,North Miami Beach,Dade,(305) 651-1100,160,Florida,33169,Medical Staff Office,(305) 651-1100,
Parrish Medical Center, North Washington Avenue,Titusville,Brevard,321-268-6111,951,Florida,32796,Medical Staff Office,321-268-6111,
Physicians Regional Medical Center - Pine Ridge, Pine Ridge Road,Naples,Collier,239-348-4000,6101,Florida,34119,Medical Staff Office,239-354-6050,
Pinecrest Rehabilitation Hospital,Linton Boulevard,Delray Beach,Palm Beach,561-495-0400,5360,Florida,33484,Medical Staff Office,561-637-5350,
Putnam Community Medical Center,Zeagler Drive,Palatka,Putnam,386-328-5711,611,Florida,32177,Medical Staff Office,386-328-5711,
Raulerson Hospital,U.S. 441,Okeechobee,Okeechobee,863-763-2151,1796,Florida,34972,Medical Staff Office,(863) 824-2706,
Regional Medical Center Bayonet Point,Fivay Road,Hudson,Pasco,727-819-2929,14000,Florida,34667,Medical Staff Office,727-861-5102,727-869-5448
Rehabilitation Hospital,North Davis Highway,Pensacola,Escambia,850-494-4000,383,Florida,32514,Medical Staff Office,(850) 494-4113,
Santa Rosa Medical Center,Berryhill Road,Milton,Santa Rosa,850-626-7762,6002,Florida,32570,Medical Staff Office,(850) 626-5009,
Sebastian River Medical Center, U.S. 1,Sebastian,Indian River,772-589-3186,13695,Florida,32976,Medical Staff Office,(772) 581-2065,
Seven Rivers Rivers Regional Medical Center,North Suncoast Boulevard,Crystal River,Citrus,352-795-6560,6201,Florida,34428,Medical Staff Office,(352) 795-8381,
Shands Live Oak," 11th Street Southwest, ",Live Oak,Suwannee,386-362-0800,1100,Florida,32064,Medical Staff Office,(386) 362-0800,
South Bay Hospital, Sun City Center Boulevard,Sun City,Hillsborough,813-634-3301,4016,Florida,33573,Medical Staff Office,(813) 634-0407,
South Florida Baptist Hospital, North Alexander Street,Plant City,Hillsborough,813-757-1200,301,Florida,33563,Medical Staff Office,786-596-2290,
South Seminole Hospital, West State Road 434,Longwood,Seminole,407-767-1200,555,Florida,32750,Medical Staff Office,321.842.5980,
Spring Hill Regional Hospital, Quality Drive,Spring Hill,Hernando,352-688-8200,10461,Florida,34609,Medical Staff Office,352-754-3246,352-797-9519
St. Anthony's Hospital, 7th Avenue North,St. Petersburg,Pinellas,727-825-1100,1200,Florida,33705,Medical Staff Office,(727) 825-1168,
St. Vincent's Medical Center Riverside,1 Shircliff Way,Jacksonville,Duval,904-308-7300,,Florida,32204,Medical Staff Office,904-308-7300,
Sun Coast Hospital, Indian Rocks Road,Largo,Pinellas,727-581-9474,2025,Florida,33774,Medical Staff Office,727-581-9474,
Tallahassee Memorial Hospital,Miccosukee Road,Tallahassee,Leon,850-431-1155,1300,Florida,32308,Medical Staff Office,850-431-5250,
Tampa General Hospital,1 Tampa General Circle,Tampa,Hillsborough,813-844-7000,,Florida,33606,Medical Staff Office,(813) 844-7551,
Tampa Shriners Hospital,USF Pine Drive,Tampa,Hillsborough,813-972-2250,12502,Florida,33612,Medical Staff Office,813-972-2250,
Ten Broeck Hospital, Beach Boulevard,Jacksonville,Duval,904-724-9202,6300,Florida,32216,Medical Staff Office,904-724-9202,
Town & Country Hospital, Webb Road,Tampa,Hillsborough,813-888-7060,6001,Florida,33615,Medical Staff Office,(813) 882-7169,
Tri-County Hospital - Williston, SW Seventh Street,Williston,Levy,352) 528-2801,125,Florida,32696,Medical Staff Office,352) 528-2801,
Trinity Community Hospital, State Road 54,Jasper,Hamilton,727-834-4000,9330,Florida,34655,Medical Staff Office,727-834-4768,
Twin Cities Hospital,Highway 85 North,Niceville,Okaloosa,850-678-4131,2190,Florida,32578,Medical Staff Office,(805) 434-4572,
UF Health Jacksonville," West 8th Street,",Jacksonville,Duval,904-244-0411,655,Florida,32209,Medical Staff Office,904-244-9650,
University Hospital and Medical Center, North University Drive,Tamarac,Broward,954-721-2200,7201,Florida,3321,Medical Staff Office,954-724-6193,
University of Miami Hospital,Northwest 12th Avenue,Miami,Dade,305-689-5511,1400,Florida,33136,Medical Staff Office,(305) 325-5613,
VA Medical Center, Southwest Archer Road,Gainesville,Alachua,352-376-1611,1601,Florida,32608,Medical Staff Office,352-374-6009,
Venice Regional Medical Center,West Dearborn Street,Venice,Sarasota,941-473-5140,250,Florida,34223,Medical Staff Office,(941) 485-7711,
Viera Hospital,North Wickham Road,Viera,Brevard,321-434-9000,8745,Florida,32940,Medical Staff Office,321-434-7110,
Wellington Regional Medical Center, Forest Hill Boulevard,Wellington,Palm Beach,561-798-8500,10101,Florida,33414,Medical Staff Office,561-798-8500,
West Boca Medical Center, South Central Park Boulevard,Boca Raton,Palm Beach,561-482-9765,9970,Florida,33428,Medical Staff Office,561-482-9765,
West Florida Hospital, North Davis Highway,Pensacola,Escambia,850-494-4000,8383,Florida,32514,Medical Staff Office,(850) 494-4113,
West Side Regional Medical Center,West Broward Boulevard,Plantation,Broward,954-473-6600,8201,Florida,33324,Medical Staff Office,(954) 476-3996,
Winnie Palmer Hospital for Women & Babies, West Miller Street,Orlando,Orange,321-843-9792,83,Florida,32806,Medical Staff Office,321.841.8625,
Winter Haven Hospital,Ave F Northeast,Winter Haven,Polk,863-293-1121,200,Florida,33881,Medical Staff Office,863-293-1121,
Winter Park Memorial Hospital, North Lakemont Avenue,Winter Park,Orange,407-646-7000,200,Florida,32792,Medical Staff Office,407-646-7000,
Wolfson Children's Hospital,Prudential Drive,Jacksonville,Duval,904-202-2000,800,Florida,32207,Medical Staff Office,904-202-2000,
Wuesthoff Health System,375 Commerce Parkway,Rockledge,Brevard,321-690-6650,#103,Florida,32955,Medical Staff Office,321-690-6650,
Wuestoff Medical Center - Melbourne,North Wickham Road,Melbourne,Brevard,321-752-1200,250,Florida,39235,Medical Staff Office,321-752-1200,
Wuestoff Medical Center - Rockledge, Longwood Avenue,Rockledge,Brevard,321-636-2211,110,Florida,32955,Medical Staff Office,321-636-2211,
